run_id,input_path,ecc_profile,peptide_length,index_aa_length,loss_prob,mutation_prob,insertion_prob,shuffle_prob,shuffle_passes,original_size_bytes,encoded_size_bytes,decoded_size_bytes,size_delta_bytes,success,byte_errors,bit_errors,bit_error_rate,failure_mode,data_units,parity_units,tx_units,tx_residues_total,payload_bits_capacity,payload_bits_useful,encode_time_s,decode_time_s,total_time_s,score_mean,score_p10,score_p90,base_error_mean,base_error_p10,base_error_p90
0,resources/test/data_test/size_00_1B.txt,rs32,18,0,0.009976472727272728,0.004988236363636364,0.004988236363636364,0.004988236363636364,1,1,223,1,0,True,0,0,0.0,success,1,32,33,594,54,8,0.0006033009995007887,0.0013852460033376701,0.001988547002838459,0.5011763636363636,0.43123,0.53255,0.009976472727272728,0.009349000000000001,0.0113754
0,resources/test/data_test/size_01_2B.txt,rs32,18,0,0.010014860606060607,0.005007430303030303,0.005007430303030303,0.005007430303030303,1,2,223,2,0,True,0,0,0.0,success,1,32,33,594,54,8,0.0002868779993150383,0.001263318001292646,0.0015501960006076843,0.49925696969696975,0.403856,0.55558,0.010014860606060607,0.008888400000000001,0.01192288
0,resources/test/data_test/size_02_4B.txt,rs32,18,0,0.008948454545454546,0.004474227272727273,0.004474227272727273,0.004474227272727273,1,4,223,4,0,True,0,0,0.0,success,1,32,33,594,54,16,0.00028300000121816993,0.001406987001246307,0.001689987002464477,0.5525772727272728,0.46047,0.62851,0.008948454545454546,0.0074298,0.010790600000000001
0,resources/test/data_test/size_03_8B.txt,rs32,18,0,0.007141212121212121,0.0035706060606060606,0.0035706060606060606,0.0035706060606060606,1,8,223,8,0,True,0,0,0.0,success,1,32,33,594,54,32,0.0002874490019166842,0.0017892429968924262,0.0020766919988091104,0.6429393939393939,0.530128,0.7229,0.007141212121212121,0.005542,0.00939744
0,resources/test/data_test/size_04_16B.txt,rs32,18,0,0.006753576470588236,0.003376788235294118,0.003376788235294118,0.003376788235294118,1,16,230,16,0,True,0,0,0.0,success,2,32,34,612,108,64,0.0003955409993068315,0.002191548002883792,0.0025870890021906234,0.6623211764705883,0.5252950000000001,0.8004450000000001,0.006753576470588236,0.0039911,0.0094941
0,resources/test/data_test/size_05_32B.txt,rs32,18,0,0.006675108571428571,0.0033375542857142855,0.0033375542857142855,0.0033375542857142855,1,32,237,32,0,True,0,0,0.0,success,3,32,35,630,162,152,0.00036428299790713936,0.0030181969996192493,0.0033824799975263886,0.6662445714285715,0.55316,0.772932,0.006675108571428571,0.00454136,0.008936800000000002
0,resources/test/data_test/size_06_64B.txt,rs32,18,0,0.00676954358974359,0.003384771794871795,0.003384771794871795,0.003384771794871795,1,64,264,64,0,True,0,0,0.0,success,7,32,39,702,378,352,0.0004883950023213401,0.0038320629973895848,0.004320457999710925,0.6615228205128205,0.516814,0.790964,0.00676954358974359,0.004180720000000001,0.00966372
0,resources/test/data_test/size_07_128B.txt,rs32,18,0,0.006302200000000001,0.0031511000000000004,0.0031511000000000004,0.0031511000000000004,1,128,311,128,0,True,0,0,0.0,success,14,32,46,828,756,752,0.0006461819939431734,0.0036898859980283305,0.004336067991971504,0.68489,0.57189,0.822225,0.006302200000000001,0.0035555000000000005,0.008562199999999999
0,resources/test/data_test/size_08_256B.txt,rs32,18,0,0.00658828817204301,0.003294144086021505,0.003294144086021505,0.003294144086021505,1,256,628,256,0,True,0,0,0.0,success,29,64,93,1674,1566,1560,0.0011798510022345,0.007230502997117583,0.008410353999352083,0.6705855913978495,0.5640499999999999,0.79009,0.00658828817204301,0.004198200000000001,0.008719
0,resources/test/data_test/size_09_512B.txt,rs32,18,0,0.006423810322580645,0.0032119051612903224,0.0032119051612903224,0.0032119051612903224,1,512,1047,512,0,True,0,0,0.0,success,59,96,155,2790,3186,3144,0.0020158379993517883,0.011052586996811442,0.01306842499616323,0.6788094838709677,0.55074,0.8072,0.006423810322580645,0.003856,0.0089852
0,resources/test/data_test/size_10_1024B.txt,rs32,18,0,0.006518179856115108,0.003259089928057554,0.003259089928057554,0.003259089928057554,1,1024,1877,1024,0,True,0,0,0.0,success,118,160,278,5004,6372,6360,0.003979698994953651,0.01946051599952625,0.023440214994479902,0.6740910071942446,0.53255,0.8000420000000001,0.006518179856115108,0.003999160000000001,0.009349000000000001
0,resources/test/data_test/size_11_2048B.txt,rs32,18,0,0.006428183842010772,0.003214091921005386,0.003214091921005386,0.003214091921005386,1,2048,3760,2048,0,True,0,0,0.0,success,237,320,557,10026,12798,12776,0.007630041996890213,0.0567755189986201,0.06440556099551031,0.6785908078994614,0.53862,0.79877,0.006428183842010772,0.004024600000000001,0.0092276
0,resources/test/data_test/size_12_4096B.txt,rs32,18,0,0.006508791569506726,0.003254395784753363,0.003254395784753363,0.003254395784753363,1,4096,7527,4096,0,True,0,0,0.0,success,475,640,1115,20070,25650,25608,0.022308784995402675,0.07883936599682784,0.10114815099223051,0.6745604215246637,0.53862,0.79877,0.006508791569506726,0.004024600000000001,0.0092276
0,resources/test/data_test/size_13_8192B.txt,rs32,18,0,0.0063866667562724015,0.0031933333781362008,0.0031933333781362008,0.0031933333781362008,1,8192,15066,8192,0,True,0,0,0.0,success,952,1280,2232,40176,51408,51368,0.02943339999910677,0.16295461199479178,0.19238801199389854,0.68066666218638,0.55074,0.8072,0.0063866667562724015,0.003856,0.0089852
0,resources/test/data_test/size_14_16384B.txt,rs32,18,0,0.006391568741603224,0.003195784370801612,0.003195784370801612,0.003195784370801612,1,16384,30146,16384,0,True,0,0,0.0,success,1906,2560,4466,80388,102924,102920,0.05982685999333626,0.3357271259956178,0.3955539859889541,0.6804215629198388,0.55074,0.80301,0.006391568741603224,0.0039398,0.0089852
